,GeoName,Description,LineCode,Year,Value
108,Connecticut,Per capita personal consumption expenditures,1,1999,28492
109,Delaware,Per capita personal consumption expenditures,1,1999,24142
110,District of Columbia,Per capita personal consumption expenditures,1,1999,33796
111,Florida,Per capita personal consumption expenditures,1,1999,22597
112,Georgia,Per capita personal consumption expenditures,1,1999,20777
113,Hawaii,Per capita personal consumption expenditures,1,1999,22699
114,Idaho,Per capita personal consumption expenditures,1,1999,18844
115,Illinois,Per capita personal consumption expenditures,1,1999,23422
116,Indiana,Per capita personal consumption expenditures,1,1999,20666
117,Iowa,Per capita personal consumption expenditures,1,1999,20625
118,Kansas,Per capita personal consumption expenditures,1,1999,20347
119,Kentucky,Per capita personal consumption expenditures,1,1999,18903
120,Louisiana,Per capita personal consumption expenditures,1,1999,18410
121,Maine,Per capita personal consumption expenditures,1,1999,23254
122,Maryland,Per capita personal consumption expenditures,1,1999,24102
123,Massachusetts,Per capita personal consumption expenditures,1,1999,28498
124,Michigan,Per capita personal consumption expenditures,1,1999,22796
125,Minnesota,Per capita personal consumption expenditures,1,1999,25472
126,Mississippi,Per capita personal consumption expenditures,1,1999,16184
127,Missouri,Per capita personal consumption expenditures,1,1999,22329
128,Montana,Per capita personal consumption expenditures,1,1999,19642
129,Nebraska,Per capita personal consumption expenditures,1,1999,21182
130,Nevada,Per capita personal consumption expenditures,1,1999,22545
131,New Hampshire,Per capita personal consumption expenditures,1,1999,26349
132,New Jersey,Per capita personal consumption expenditures,1,1999,26877
133,New Mexico,Per capita personal consumption expenditures,1,1999,19125
134,New York,Per capita personal consumption expenditures,1,1999,24805
135,North Carolina,Per capita personal consumption expenditures,1,1999,19911
136,North Dakota,Per capita personal consumption expenditures,1,1999,20459
137,Ohio,Per capita personal consumption expenditures,1,1999,21694
138,Oklahoma,Per capita personal consumption expenditures,1,1999,17774
139,Oregon,Per capita personal consumption expenditures,1,1999,23045
140,Pennsylvania,Per capita personal consumption expenditures,1,1999,22812
141,Rhode Island,Per capita personal consumption expenditures,1,1999,21986
142,South Carolina,Per capita personal consumption expenditures,1,1999,19189
143,South Dakota,Per capita personal consumption expenditures,1,1999,20136
144,Tennessee,Per capita personal consumption expenditures,1,1999,20493
145,Texas,Per capita personal consumption expenditures,1,1999,21258
146,Utah,Per capita personal consumption expenditures,1,1999,19679
147,Vermont,Per capita personal consumption expenditures,1,1999,23795
148,Virginia,Per capita personal consumption expenditures,1,1999,22839
149,Washington,Per capita personal consumption expenditures,1,1999,24373
150,West Virginia,Per capita personal consumption expenditures,1,1999,17582
151,Wisconsin,Per capita personal consumption expenditures,1,1999,22171
152,Wyoming,Per capita personal consumption expenditures,1,1999,21060
153,Alabama,Per capita personal consumption expenditures,1,2000,19559
154,Alaska,Per capita personal consumption expenditures,1,2000,26400
155,Arizona,Per capita personal consumption expenditures,1,2000,22579
156,Arkansas,Per capita personal consumption expenditures,1,2000,18556
157,California,Per capita personal consumption expenditures,1,2000,25112
158,Colorado,Per capita personal consumption expenditures,1,2000,27042
159,Connecticut,Per capita personal consumption expenditures,1,2000,29902
160,Delaware,Per capita personal consumption expenditures,1,2000,25260
161,District of Columbia,Per capita personal consumption expenditures,1,2000,35744
162,Florida,Per capita personal consumption expenditures,1,2000,24092
163,Georgia,Per capita personal consumption expenditures,1,2000,22072
164,Hawaii,Per capita personal consumption expenditures,1,2000,24157
165,Idaho,Per capita personal consumption expenditures,1,2000,20035
166,Illinois,Per capita personal consumption expenditures,1,2000,25187
167,Indiana,Per capita personal consumption expenditures,1,2000,21748
168,Iowa,Per capita personal consumption expenditures,1,2000,21757
169,Kansas,Per capita personal consumption expenditures,1,2000,21603
170,Kentucky,Per capita personal consumption expenditures,1,2000,20079
171,Louisiana,Per capita personal consumption expenditures,1,2000,19375
172,Maine,Per capita personal consumption expenditures,1,2000,24464
173,Maryland,Per capita personal consumption expenditures,1,2000,25819
174,Massachusetts,Per capita personal consumption expenditures,1,2000,30690
175,Michigan,Per capita personal consumption expenditures,1,2000,23991
176,Minnesota,Per capita personal consumption expenditures,1,2000,27450
177,Mississippi,Per capita personal consumption expenditures,1,2000,17093
178,Missouri,Per capita personal consumption expenditures,1,2000,23457
179,Montana,Per capita personal consumption expenditures,1,2000,20855
180,Nebraska,Per capita personal consumption expenditures,1,2000,22607
181,Nevada,Per capita personal consumption expenditures,1,2000,23854
182,New Hampshire,Per capita personal consumption expenditures,1,2000,28073
183,New Jersey,Per capita personal consumption expenditures,1,2000,28730
184,New Mexico,Per capita personal consumption expenditures,1,2000,20029
185,New York,Per capita personal consumption expenditures,1,2000,26461
186,North Carolina,Per capita personal consumption expenditures,1,2000,21166
187,North Dakota,Per capita personal consumption expenditures,1,2000,21734
188,Ohio,Per capita personal consumption expenditures,1,2000,23113
189,Oklahoma,Per capita personal consumption expenditures,1,2000,18833
190,Oregon,Per capita personal consumption expenditures,1,2000,24214
191,Pennsylvania,Per capita personal consumption expenditures,1,2000,24381
192,Rhode Island,Per capita personal consumption expenditures,1,2000,23918
193,South Carolina,Per capita personal consumption expenditures,1,2000,20250
194,South Dakota,Per capita personal consumption expenditures,1,2000,21157
195,Tennessee,Per capita personal consumption expenditures,1,2000,21617
196,Texas,Per capita personal consumption expenditures,1,2000,22675
197,Utah,Per capita personal consumption expenditures,1,2000,20696
198,Vermont,Per capita personal consumption expenditures,1,2000,25269
199,Virginia,Per capita personal consumption expenditures,1,2000,24501
200,Washington,Per capita personal consumption expenditures,1,2000,26015
201,West Virginia,Per capita personal consumption expenditures,1,2000,18624
202,Wisconsin,Per capita personal consumption expenditures,1,2000,23478
203,Wyoming,Per capita personal consumption expenditures,1,2000,22479
204,Alabama,Per capita personal consumption expenditures,1,2001,20218
205,Alaska,Per capita personal consumption expenditures,1,2001,27812
206,Arizona,Per capita personal consumption expenditures,1,2001,23118
207,Arkansas,Per capita personal consumption expenditures,1,2001,19204
208,California,Per capita personal consumption expenditures,1,2001,25915
209,Colorado,Per capita personal consumption expenditures,1,2001,27847
210,Connecticut,Per capita personal consumption expenditures,1,2001,30987
211,Delaware,Per capita personal consumption expenditures,1,2001,26368
212,District of Columbia,Per capita personal consumption expenditures,1,2001,37573
213,Florida,Per capita personal consumption expenditures,1,2001,24839
214,Georgia,Per capita personal consumption expenditures,1,2001,22699
215,Hawaii,Per capita personal consumption expenditures,1,2001,24885
216,Idaho,Per capita personal consumption expenditures,1,2001,20548
217,Illinois,Per capita personal consumption expenditures,1,2001,25980
218,Indiana,Per capita personal consumption expenditures,1,2001,22539
219,Iowa,Per capita personal consumption expenditures,1,2001,22364
220,Kansas,Per capita personal consumption expenditures,1,2001,22377
221,Kentucky,Per capita personal consumption expenditures,1,2001,20684
222,Louisiana,Per capita personal consumption expenditures,1,2001,20104
223,Maine,Per capita personal consumption expenditures,1,2001,25679
224,Maryland,Per capita personal consumption expenditures,1,2001,27040
225,Massachusetts,Per capita personal consumption expenditures,1,2001,32023
226,Michigan,Per capita personal consumption expenditures,1,2001,24701
227,Minnesota,Per capita personal consumption expenditures,1,2001,28341
228,Mississippi,Per capita personal consumption expenditures,1,2001,17819
229,Missouri,Per capita personal consumption expenditures,1,2001,24301
230,Montana,Per capita personal consumption expenditures,1,2001,21903
231,Nebraska,Per capita personal consumption expenditures,1,2001,23570
232,Nevada,Per capita personal consumption expenditures,1,2001,24538
233,New Hampshire,Per capita personal consumption expenditures,1,2001,29200
234,New Jersey,Per capita personal consumption expenditures,1,2001,30207
235,New Mexico,Per capita personal consumption expenditures,1,2001,20714
236,New York,Per capita personal consumption expenditures,1,2001,27447
237,North Carolina,Per capita personal consumption expenditures,1,2001,21673
238,North Dakota,Per capita personal consumption expenditures,1,2001,23127
239,Ohio,Per capita personal consumption expenditures,1,2001,24006
240,Oklahoma,Per capita personal consumption expenditures,1,2001,19660
241,Oregon,Per capita personal consumption expenditures,1,2001,24721
242,Pennsylvania,Per capita personal consumption expenditures,1,2001,25456
243,Rhode Island,Per capita personal consumption expenditures,1,2001,24911
244,South Carolina,Per capita personal consumption expenditures,1,2001,20813
245,South Dakota,Per capita personal consumption expenditures,1,2001,22073
246,Tennessee,Per capita personal consumption expenditures,1,2001,22103
247,Texas,Per capita personal consumption expenditures,1,2001,23461
248,Utah,Per capita personal consumption expenditures,1,2001,21238
249,Vermont,Per capita personal consumption expenditures,1,2001,26736
250,Virginia,Per capita personal consumption expenditures,1,2001,25382
251,Washington,Per capita personal consumption expenditures,1,2001,26399
252,West Virginia,Per capita personal consumption expenditures,1,2001,19467
253,Wisconsin,Per capita personal consumption expenditures,1,2001,24345
254,Wyoming,Per capita personal consumption expenditures,1,2001,23289
255,Alabama,Per capita personal consumption expenditures,1,2002,21174
256,Alaska,Per capita personal consumption expenditures,1,2002,29470
257,Arizona,Per capita personal consumption expenditures,1,2002,23728
258,Arkansas,Per capita personal consumption expenditures,1,2002,19834
259,California,Per capita personal consumption expenditures,1,2002,26676
260,Colorado,Per capita personal consumption expenditures,1,2002,28191
261,Connecticut,Per capita personal consumption expenditures,1,2002,32021
262,Delaware,Per capita personal consumption expenditures,1,2002,27408
263,District of Columbia,Per capita personal consumption expenditures,1,2002,39251
264,Florida,Per capita personal consumption expenditures,1,2002,25200
265,Georgia,Per capita personal consumption expenditures,1,2002,23318
266,Hawaii,Per capita personal consumption expenditures,1,2002,25566
267,Idaho,Per capita personal consumption expenditures,1,2002,21099
268,Illinois,Per capita personal consumption expenditures,1,2002,26756
269,Indiana,Per capita personal consumption expenditures,1,2002,23304
270,Iowa,Per capita personal consumption expenditures,1,2002,22920
271,Kansas,Per capita personal consumption expenditures,1,2002,22916
272,Kentucky,Per capita personal consumption expenditures,1,2002,21450
273,Louisiana,Per capita personal consumption expenditures,1,2002,20806
274,Maine,Per capita personal consumption expenditures,1,2002,26871
275,Maryland,Per capita personal consumption expenditures,1,2002,28055
276,Massachusetts,Per capita personal consumption expenditures,1,2002,32857
277,Michigan,Per capita personal consumption expenditures,1,2002,25391
278,Minnesota,Per capita personal consumption expenditures,1,2002,29373
279,Mississippi,Per capita personal consumption expenditures,1,2002,18598
280,Missouri,Per capita personal consumption expenditures,1,2002,25280
281,Montana,Per capita personal consumption expenditures,1,2002,23074
282,Nebraska,Per capita personal consumption expenditures,1,2002,24196
283,Nevada,Per capita personal consumption expenditures,1,2002,25369
284,New Hampshire,Per capita personal consumption expenditures,1,2002,30289
285,New Jersey,Per capita personal consumption expenditures,1,2002,31719
286,New Mexico,Per capita personal consumption expenditures,1,2002,21343
287,New York,Per capita personal consumption expenditures,1,2002,28225
288,North Carolina,Per capita personal consumption expenditures,1,2002,22050
289,North Dakota,Per capita personal consumption expenditures,1,2002,24457
290,Ohio,Per capita personal consumption expenditures,1,2002,24836
291,Oklahoma,Per capita personal consumption expenditures,1,2002,20039
292,Oregon,Per capita personal consumption expenditures,1,2002,25475
293,Pennsylvania,Per capita personal consumption expenditures,1,2002,26357
294,Rhode Island,Per capita personal consumption expenditures,1,2002,26150
295,South Carolina,Per capita personal consumption expenditures,1,2002,21464
296,South Dakota,Per capita personal consumption expenditures,1,2002,23083
297,Tennessee,Per capita personal consumption expenditures,1,2002,22779
298,Texas,Per capita personal consumption expenditures,1,2002,23828
299,Utah,Per capita personal consumption expenditures,1,2002,21908
300,Vermont,Per capita personal consumption expenditures,1,2002,27930
301,Virginia,Per capita personal consumption expenditures,1,2002,26242
302,Washington,Per capita personal consumption expenditures,1,2002,27055
303,West Virginia,Per capita personal consumption expenditures,1,2002,20377
304,Wisconsin,Per capita personal consumption expenditures,1,2002,25163
305,Wyoming,Per capita personal consumption expenditures,1,2002,24129
306,Alabama,Per capita personal consumption expenditures,1,2003,22065
307,Alaska,Per capita personal consumption expenditures,1,2003,31014
308,Arizona,Per capita personal consumption expenditures,1,2003,24672
309,Arkansas,Per capita personal consumption expenditures,1,2003,20721
310,California,Per capita personal consumption expenditures,1,2003,27748
311,Colorado,Per capita personal consumption expenditures,1,2003,29164
312,Connecticut,Per capita personal consumption expenditures,1,2003,33165
313,Delaware,Per capita personal consumption expenditures,1,2003,28644
314,District of Columbia,Per capita personal consumption expenditures,1,2003,41413
315,Florida,Per capita personal consumption expenditures,1,2003,26186
316,Georgia,Per capita personal consumption expenditures,1,2003,24284
317,Hawaii,Per capita personal consumption expenditures,1,2003,27025
318,Idaho,Per capita personal consumption expenditures,1,2003,22048
319,Illinois,Per capita personal consumption expenditures,1,2003,27812
320,Indiana,Per capita personal consumption expenditures,1,2003,24257
321,Iowa,Per capita personal consumption expenditures,1,2003,24007
322,Kansas,Per capita personal consumption expenditures,1,2003,23959
323,Kentucky,Per capita personal consumption expenditures,1,2003,22349
324,Louisiana,Per capita personal consumption expenditures,1,2003,21845
325,Maine,Per capita personal consumption expenditures,1,2003,28299
326,Maryland,Per capita personal consumption expenditures,1,2003,29364
327,Massachusetts,Per capita personal consumption expenditures,1,2003,34435
328,Michigan,Per capita personal consumption expenditures,1,2003,26274
329,Minnesota,Per capita personal consumption expenditures,1,2003,30494
330,Mississippi,Per capita personal consumption expenditures,1,2003,19490
331,Missouri,Per capita personal consumption expenditures,1,2003,26173
332,Montana,Per capita personal consumption expenditures,1,2003,24260
333,Nebraska,Per capita personal consumption expenditures,1,2003,25424
334,Nevada,Per capita personal consumption expenditures,1,2003,26467
335,New Hampshire,Per capita personal consumption expenditures,1,2003,32153
336,New Jersey,Per capita personal consumption expenditures,1,2003,33395
337,New Mexico,Per capita personal consumption expenditures,1,2003,22313
338,New York,Per capita personal consumption expenditures,1,2003,29653
339,North Carolina,Per capita personal consumption expenditures,1,2003,22877
340,North Dakota,Per capita personal consumption expenditures,1,2003,25669
341,Ohio,Per capita personal consumption expenditures,1,2003,25895
342,Oklahoma,Per capita personal consumption expenditures,1,2003,21013
343,Oregon,Per capita personal consumption expenditures,1,2003,26323
344,Pennsylvania,Per capita personal consumption expenditures,1,2003,27858
345,Rhode Island,Per capita personal consumption expenditures,1,2003,27905
346,South Carolina,Per capita personal consumption expenditures,1,2003,22438
347,South Dakota,Per capita personal consumption expenditures,1,2003,24445
348,Tennessee,Per capita personal consumption expenditures,1,2003,23658
349,Texas,Per capita personal consumption expenditures,1,2003,24511
350,Utah,Per capita personal consumption expenditures,1,2003,22619
351,Vermont,Per capita personal consumption expenditures,1,2003,29314
352,Virginia,Per capita personal consumption expenditures,1,2003,27647
353,Washington,Per capita personal consumption expenditures,1,2003,28271
354,West Virginia,Per capita personal consumption expenditures,1,2003,21175
355,Wisconsin,Per capita personal consumption expenditures,1,2003,26388
356,Wyoming,Per capita personal consumption expenditures,1,2003,25470
357,Alabama,Per capita personal consumption expenditures,1,2004,23268
358,Alaska,Per capita personal consumption expenditures,1,2004,32481
359,Arizona,Per capita personal consumption expenditures,1,2004,26095
360,Arkansas,Per capita personal consumption expenditures,1,2004,21813
361,California,Per capita personal consumption expenditures,1,2004,29356
362,Colorado,Per capita personal consumption expenditures,1,2004,30575
363,Connecticut,Per capita personal consumption expenditures,1,2004,35216
364,Delaware,Per capita personal consumption expenditures,1,2004,30268
365,District of Columbia,Per capita personal consumption expenditures,1,2004,44091
366,Florida,Per capita personal consumption expenditures,1,2004,27720
367,Georgia,Per capita personal consumption expenditures,1,2004,25365
368,Hawaii,Per capita personal consumption expenditures,1,2004,28510
369,Idaho,Per capita personal consumption expenditures,1,2004,23302
370,Illinois,Per capita personal consumption expenditures,1,2004,29226
371,Indiana,Per capita personal consumption expenditures,1,2004,25740
372,Iowa,Per capita personal consumption expenditures,1,2004,25399
373,Kansas,Per capita personal consumption expenditures,1,2004,25298
374,Kentucky,Per capita personal consumption expenditures,1,2004,23469
375,Louisiana,Per capita personal consumption expenditures,1,2004,22997
376,Maine,Per capita personal consumption expenditures,1,2004,29973
377,Maryland,Per capita personal consumption expenditures,1,2004,31030
378,Massachusetts,Per capita personal consumption expenditures,1,2004,36561
379,Michigan,Per capita personal consumption expenditures,1,2004,27458
380,Minnesota,Per capita personal consumption expenditures,1,2004,31913
381,Mississippi,Per capita personal consumption expenditures,1,2004,20547
382,Missouri,Per capita personal consumption expenditures,1,2004,27109
383,Montana,Per capita personal consumption expenditures,1,2004,25744
384,Nebraska,Per capita personal consumption expenditures,1,2004,27033
385,Nevada,Per capita personal consumption expenditures,1,2004,28218
386,New Hampshire,Per capita personal consumption expenditures,1,2004,34142
387,New Jersey,Per capita personal consumption expenditures,1,2004,35111
388,New Mexico,Per capita personal consumption expenditures,1,2004,23770
389,New York,Per capita personal consumption expenditures,1,2004,31446
390,North Carolina,Per capita personal consumption expenditures,1,2004,24016
391,North Dakota,Per capita personal consumption expenditures,1,2004,27207
392,Ohio,Per capita personal consumption expenditures,1,2004,26978
393,Oklahoma,Per capita personal consumption expenditures,1,2004,22072
394,Oregon,Per capita personal consumption expenditures,1,2004,27960
395,Pennsylvania,Per capita personal consumption expenditures,1,2004,29331
396,Rhode Island,Per capita personal consumption expenditures,1,2004,29506
397,South Carolina,Per capita personal consumption expenditures,1,2004,23705
398,South Dakota,Per capita personal consumption expenditures,1,2004,26061
399,Tennessee,Per capita personal consumption expenditures,1,2004,24800
400,Texas,Per capita personal consumption expenditures,1,2004,25537
401,Utah,Per capita personal consumption expenditures,1,2004,24099
402,Vermont,Per capita personal consumption expenditures,1,2004,31026
403,Virginia,Per capita personal consumption expenditures,1,2004,29549
404,Washington,Per capita personal consumption expenditures,1,2004,29900
405,West Virginia,Per capita personal consumption expenditures,1,2004,22401
406,Wisconsin,Per capita personal consumption expenditures,1,2004,27790
407,Wyoming,Per capita personal consumption expenditures,1,2004,27260
408,Alabama,Per capita personal consumption expenditures,1,2005,24784
409,Alaska,Per capita personal consumption expenditures,1,2005,34205
410,Arizona,Per capita personal consumption expenditures,1,2005,27652
411,Arkansas,Per capita personal consumption expenditures,1,2005,23135
412,California,Per capita personal consumption expenditures,1,2005,31059
413,Colorado,Per capita personal consumption expenditures,1,2005,32036
414,Connecticut,Per capita personal consumption expenditures,1,2005,37534
415,Delaware,Per capita personal consumption expenditures,1,2005,31971
416,District of Columbia,Per capita personal consumption expenditures,1,2005,46648
417,Florida,Per capita personal consumption expenditures,1,2005,29389
418,Georgia,Per capita personal consumption expenditures,1,2005,26731
419,Hawaii,Per capita personal consumption expenditures,1,2005,30601
420,Idaho,Per capita personal consumption expenditures,1,2005,24917
421,Illinois,Per capita personal consumption expenditures,1,2005,30800
422,Indiana,Per capita personal consumption expenditures,1,2005,26999
423,Iowa,Per capita personal consumption expenditures,1,2005,26674
424,Kansas,Per capita personal consumption expenditures,1,2005,26512
425,Kentucky,Per capita personal consumption expenditures,1,2005,24656
426,Louisiana,Per capita personal consumption expenditures,1,2005,23899
427,Maine,Per capita personal consumption expenditures,1,2005,31529
428,Maryland,Per capita personal consumption expenditures,1,2005,32873
429,Massachusetts,Per capita personal consumption expenditures,1,2005,38731
430,Michigan,Per capita personal consumption expenditures,1,2005,28543
431,Minnesota,Per capita personal consumption expenditures,1,2005,32763
432,Mississippi,Per capita personal consumption expenditures,1,2005,21753
433,Missouri,Per capita personal consumption expenditures,1,2005,28278
434,Montana,Per capita personal consumption expenditures,1,2005,27430
435,Nebraska,Per capita personal consumption expenditures,1,2005,28498
436,Nevada,Per capita personal consumption expenditures,1,2005,30252
437,New Hampshire,Per capita personal consumption expenditures,1,2005,36191
438,New Jersey,Per capita personal consumption expenditures,1,2005,37104
439,New Mexico,Per capita personal consumption expenditures,1,2005,25156
440,New York,Per capita personal consumption expenditures,1,2005,33460
441,North Carolina,Per capita personal consumption expenditures,1,2005,25313
442,North Dakota,Per capita personal consumption expenditures,1,2005,28824
443,Ohio,Per capita personal consumption expenditures,1,2005,28318
444,Oklahoma,Per capita personal consumption expenditures,1,2005,23590
445,Oregon,Per capita personal consumption expenditures,1,2005,29527
446,Pennsylvania,Per capita personal consumption expenditures,1,2005,30877
447,Rhode Island,Per capita personal consumption expenditures,1,2005,31468
448,South Carolina,Per capita personal consumption expenditures,1,2005,25061
449,South Dakota,Per capita personal consumption expenditures,1,2005,27847
450,Tennessee,Per capita personal consumption expenditures,1,2005,25919
451,Texas,Per capita personal consumption expenditures,1,2005,27059
452,Utah,Per capita personal consumption expenditures,1,2005,25666
453,Vermont,Per capita personal consumption expenditures,1,2005,32926
454,Virginia,Per capita personal consumption expenditures,1,2005,31559
455,Washington,Per capita personal consumption expenditures,1,2005,31495
456,West Virginia,Per capita personal consumption expenditures,1,2005,23517
457,Wisconsin,Per capita personal consumption expenditures,1,2005,29105
458,Wyoming,Per capita personal consumption expenditures,1,2005,29297
459,Alabama,Per capita personal consumption expenditures,1,2006,25693
460,Alaska,Per capita personal consumption expenditures,1,2006,35609
461,Arizona,Per capita personal consumption expenditures,1,2006,29051
462,Arkansas,Per capita personal consumption expenditures,1,2006,24214
463,California,Per capita personal consumption expenditures,1,2006,32764
464,Colorado,Per capita personal consumption expenditures,1,2006,33310
465,Connecticut,Per capita personal consumption expenditures,1,2006,39572
466,Delaware,Per capita personal consumption expenditures,1,2006,33211
467,District of Columbia,Per capita personal consumption expenditures,1,2006,48457
468,Florida,Per capita personal consumption expenditures,1,2006,31087
469,Georgia,Per capita personal consumption expenditures,1,2006,27765
470,Hawaii,Per capita personal consumption expenditures,1,2006,32348
471,Idaho,Per capita personal consumption expenditures,1,2006,26331
472,Illinois,Per capita personal consumption expenditures,1,2006,32255
473,Indiana,Per capita personal consumption expenditures,1,2006,27924
